Data Hora;Nome Maquina;Temperatura (C);Umidade (%)
2026-06-22 07:39:45;Máquina 1;22;75
2026-06-22 07:40:29;Máquina 1;22;58
2026-06-22 09:00:35;Máquina 1;24;54
2026-06-22 09:05:35;Máquina 1;24;49
2026-06-22 09:10:35;Máquina 1;24;50
2026-06-22 09:15:35;Máquina 1;24;45
2026-06-22 09:20:35;Máquina 1;24;31
2026-06-22 09:25:35;Máquina 1;24;53
2026-06-22 09:30:35;Máquina 1;24;49
2026-06-22 09:35:35;Máquina 1;25;32
2026-06-22 09:40:35;Máquina 1;25;53
2026-06-22 10:36:36;Máquina 1;2;5
2026-06-22 10:40:51;Máquina 1;25;48
2026-06-22 10:45:51;Máquina 1;25;51
2026-06-22 10:49:26;Máquina 1;25;16
2026-06-22 10:54:27;Máquina 1;25;47
2026-06-22 10:57:58;Máquina 1;25;48
2026-06-22 11:02:58;Máquina 1;25;49
2026-06-22 11:07:58;Máquina 1;25;58
2026-06-22 11:10:02;Máquina 1;25;53
2026-06-22 11:15:03;Máquina 1;25;48
2026-06-22 11:25:03;Máquina 1;25;46
2026-06-22 13:09:22;Máquina 1;24;45
2026-06-22 13:14:22;Máquina 1;24;46
2026-06-22 13:19:22;Máquina 1;24;21
2026-06-22 13:24:22;Máquina 1;24;29
2026-06-22 13:24:38;Máquina 1;24;45
2026-06-22 13:29:39;Máquina 1;24;47
2026-06-22 13:34:38;Máquina 1;24;22
2026-06-22 13:39:38;Máquina 1;25;48
2026-06-22 13:44:38;Máquina 1;25;50
2026-06-22 13:49:39;Máquina 1;25;48
2026-06-22 13:54:39;Máquina 1;25;31
2026-06-22 13:58:12;Máquina 1;25;38
2026-06-22 14:08:16;Máquina 1;25;45
2026-06-22 14:16:41;Máquina 1;25;44
2026-06-22 14:21:41;Máquina 1;25;41
2026-06-22 14:26:41;Máquina 1;25;48
2026-06-22 14:28:02;Máquina 1;25;36
2026-06-22 14:33:04;Máquina 1;25;39
2026-06-22 14:38:02;Máquina 1;24;51
2026-06-22 14:43:02;Máquina 1;24;38
2026-06-22 14:48:02;Máquina 1;24;50
2026-06-22 14:53:02;Máquina 1;24;50
2026-06-22 14:58:02;Máquina 1;24;15
2026-06-22 15:01:32;Máquina 1;24;53
2026-06-22 15:06:32;Máquina 1;24;50
2026-06-22 15:08:57;Máquina 1;24;39
2026-06-22 15:13:57;Máquina 1;24;50
2026-06-22 15:18:57;Máquina 1;24;50
2026-06-22 15:23:57;Máquina 1;24;52
2026-06-22 15:28:57;Máquina 1;24;52
2026-06-22 15:30:21;Máquina 1;24;52
2026-06-22 15:33:46;Máquina 1;24;53
2026-06-22 15:38:46;Máquina 1;24;53
2026-06-22 15:50:21;Máquina 1;24;50
2026-06-22 15:55:21;Máquina 1;24;23
2026-06-22 16:00:21;Máquina 1;24;50
2026-06-22 16:05:21;Máquina 1;24;32
2026-06-22 16:05:29;Máquina 1;24;42
2026-06-22 16:09:35;Máquina 1;24;31
2026-06-22 16:14:35;Máquina 1;24;52
2026-06-22 16:18:32;Máquina 1;24;51
2026-06-22 16:21:39;Máquina 1;24;27
2026-06-22 16:24:22;Máquina 1;24;40
2026-06-22 16:25:40;Máquina 1;24;46
2026-06-22 16:30:40;Máquina 1;24;50
2026-06-22 16:32:55;Máquina 1;24;22
2026-06-22 16:37:55;Máquina 1;24;50
2026-06-22 16:42:55;Máquina 1;24;40
2026-06-22 16:47:55;Máquina 1;24;52
2026-06-22 16:52:55;Máquina 1;24;49
2026-06-22 16:57:55;Máquina 1;24;50
2026-06-22 17:02:55;Máquina 1;24;53
2026-06-22 17:08:16;Máquina 1;24;39
2026-06-22 17:13:16;Máquina 1;24;53
2026-06-22 17:18:16;Máquina 1;24;51
2026-06-22 17:22:03;Máquina 1;24;50
2026-06-22 17:27:03;Máquina 1;24;47
2026-06-22 17:32:06;Máquina 1;24;48
2026-06-22 17:37:03;Máquina 1;24;52
2026-06-22 17:42:03;Máquina 1;24;49
2026-06-22 17:47:03;Máquina 1;24;53
2026-06-22 17:52:03;Máquina 1;24;48
2026-06-22 17:57:03;Máquina 1;24;54
2026-06-22 18:02:03;Máquina 1;24;29
2026-06-22 18:07:03;Máquina 1;24;54
2026-06-22 18:12:03;Máquina 1;24;38
2026-06-22 18:17:03;Máquina 1;24;35
2026-06-22 18:22:03;Máquina 1;24;21
2026-06-22 18:27:03;Máquina 1;24;53
2026-06-22 18:32:03;Máquina 1;24;33
2026-06-22 18:37:03;Máquina 1;24;54
2026-06-22 18:42:03;Máquina 1;24;35
2026-06-22 18:47:03;Máquina 1;24;54
2026-06-22 18:52:03;Máquina 1;24;45
2026-06-22 18:57:03;Máquina 1;24;30
2026-06-22 19:02:03;Máquina 1;23;10
2026-06-22 19:07:03;Máquina 1;23;20
2026-06-22 19:12:03;Máquina 1;23;54
2026-06-22 19:17:03;Máquina 1;23;54
2026-06-22 19:22:03;Máquina 1;23;45
2026-06-22 19:27:03;Máquina 1;23;54
2026-06-22 19:32:03;Máquina 1;23;54
2026-06-22 19:37:03;Máquina 1;23;54
2026-06-22 19:42:03;Máquina 1;23;54
2026-06-22 19:47:03;Máquina 1;23;54
2026-06-22 19:52:03;Máquina 1;23;42
2026-06-22 19:57:03;Máquina 1;23;54
2026-06-22 20:02:03;Máquina 1;23;48
2026-06-22 20:07:03;Máquina 1;23;55
2026-06-22 20:12:03;Máquina 1;23;55
2026-06-22 20:17:03;Máquina 1;23;55
2026-06-22 20:22:03;Máquina 1;23;55
2026-06-22 20:27:03;Máquina 1;23;55
2026-06-22 20:32:03;Máquina 1;23;55
2026-06-22 20:37:03;Máquina 1;23;55
2026-06-22 20:42:03;Máquina 1;23;55
2026-06-22 20:47:03;Máquina 1;23;55
2026-06-22 20:52:03;Máquina 1;23;55
2026-06-22 20:57:03;Máquina 1;23;55
2026-06-22 21:02:03;Máquina 1;23;55
2026-06-22 21:07:03;Máquina 1;23;55
2026-06-22 21:12:03;Máquina 1;23;55
2026-06-22 21:17:03;Máquina 1;23;55
2026-06-22 21:22:03;Máquina 1;23;55
2026-06-22 21:27:03;Máquina 1;23;55
2026-06-22 21:32:03;Máquina 1;23;55
2026-06-22 21:37:03;Máquina 1;23;55
2026-06-22 21:42:03;Máquina 1;22;55
2026-06-22 21:47:03;Máquina 1;22;55
2026-06-22 21:52:03;Máquina 1;22;55
2026-06-22 21:57:03;Máquina 1;22;55
2026-06-22 22:02:03;Máquina 1;22;55
2026-06-22 22:07:03;Máquina 1;22;55
2026-06-22 22:12:03;Máquina 1;22;55
2026-06-22 22:17:03;Máquina 1;22;55
2026-06-22 22:22:03;Máquina 1;22;55
2026-06-22 22:27:03;Máquina 1;22;55
2026-06-22 22:32:03;Máquina 1;22;55
2026-06-22 22:37:03;Máquina 1;22;55
2026-06-22 22:42:03;Máquina 1;22;55
2026-06-22 22:47:03;Máquina 1;22;56
2026-06-22 22:52:03;Máquina 1;22;56
2026-06-22 22:57:03;Máquina 1;22;56
2026-06-22 23:02:03;Máquina 1;22;56
2026-06-22 23:07:03;Máquina 1;22;56
2026-06-22 23:12:03;Máquina 1;22;56
2026-06-22 23:17:03;Máquina 1;22;56
2026-06-22 23:22:03;Máquina 1;22;56
2026-06-22 23:27:03;Máquina 1;22;56
2026-06-22 23:32:03;Máquina 1;22;56
2026-06-22 23:37:03;Máquina 1;22;56
2026-06-22 23:42:03;Máquina 1;22;56
2026-06-22 23:47:03;Máquina 1;22;56
2026-06-22 23:52:03;Máquina 1;22;56
2026-06-22 23:57:03;Máquina 1;22;56
